"V1"	"V2"
"X151124_D00390_0240_AC88WPANXX_SQ0153"	-74.343530880996	-0.691602065043707
"X151204_D00390_0241_BC87VGANXX_SQ0150"	74.4652808022163	11.4664347363165
"X151204_D00390_0241_BC87VGANXX_SQ0154"	-96.2525295035441	0.155068017341044
"X151204_D00390_0241_BC87VGANXX_SQ0155"	-79.3761863073003	-0.237581499734649
"X151204_D00390_0241_BC87VGANXX_SQ0156"	-81.6646530031399	-0.360897646361561
"X151204_D00390_0241_BC87VGANXX_SQ0157"	-93.6908765032392	0.0745726605782536
"X151204_D00390_0241_BC87VGANXX_SQ0158"	-84.6089946965069	0.017153364344375
"X151204_D00390_0241_BC87VGANXX_SQ0159"	-78.5337239213416	-0.666149664881823
"X151204_D00390_0241_BC87VGANXX_SQ0161"	80.4658406577175	10.4474569857474
"X151211_D00390_0242_AC86V5ANXX_SQ0160"	-81.7211176444617	-0.4425953839431
"X151211_D00390_0242_AC86V5ANXX_SQ0162"	-58.2159696621606	-0.895942727502289
"X151211_D00390_0242_AC86V5ANXX_SQ0163"	-59.4164784167834	-1.0134230659705
"X151211_D00390_0242_AC86V5ANXX_SQ0164"	97.3484835323144	10.6152480021076
"X151211_D00390_0242_AC86V5ANXX_SQ0165"	-78.1264111110917	-0.371570694803514
"X151211_D00390_0242_AC86V5ANXX_SQ0166"	-57.4875817629733	-0.353968214773489
"X151211_D00390_0242_AC86V5ANXX_SQ0167"	-53.1900937088231	-0.491614249273067
"X151211_D00390_0242_AC86V5ANXX_SQ0168"	91.6263073588316	11.6317421463976
"X151216_D00390_0243_BC88YDANXX_SQ2542"	8.94358524479357	-24.1245980309105
"X151216_D00390_0243_BC88YDANXX_SQ2543"	36.2597749282386	-27.3865059001014
"X151216_D00390_0243_BC88YDANXX_SQ2544"	2.2251079907651	-22.9813674783241
"X151216_D00390_0243_BC88YDANXX_SQ2545"	14.1671353805555	-25.431914742769
"X160211_D00390_0244_BC87KCANXX_SQ0169"	94.1855020621998	20.9656084528809
"X160211_D00390_0244_BC87KCANXX_SQ0175"	106.035236394126	11.6704388285919
"X160211_D00390_0244_BC87KCANXX_SQ0176"	106.630545484149	11.1354770681062
"X160211_D00390_0244_BC87KCANXX_SQ0177"	104.714897440423	10.4116514668401
"X160211_D00390_0244_BC87KCANXX_SQ0180"	113.692951146734	10.8262027575782
"X160211_D00390_0244_BC87KCANXX_SQ0181"	110.200326984427	11.2340206656019
"X160211_D00390_0244_BC87KCANXX_SQ0182"	115.025120382547	11.4161651824459
"X160211_D00390_0244_BC87KCANXX_SQ0183"	112.540462601227	11.0629557227906
"X160219_D00390_0245_AC89NRANXX_SQ0111"	47.5230656426918	-3.89002601304941
"X160219_D00390_0245_AC89NRANXX_SQ0170"	71.6940470466336	20.4245525920712
"X160219_D00390_0245_AC89NRANXX_SQ0171"	61.6176785266132	20.4638930291909
"X160219_D00390_0245_AC89NRANXX_SQ0172"	86.1588535305686	20.7914397597403
"X160219_D00390_0245_AC89NRANXX_SQ0178"	86.9206942542077	12.0808035557629
"X160219_D00390_0245_AC89NRANXX_SQ0184"	97.9756637423826	11.296449060934
"X160226_D00390_0246_BC87U5ANXX_SQ0173"	76.7497564875023	21.0642719370743
"X160226_D00390_0246_BC87U5ANXX_SQ0174"	78.8505109790594	20.9020640594425
"X160226_D00390_0246_BC87U5ANXX_SQ0179"	47.5243283627565	-4.18593188721107
"X160226_D00390_0246_BC87U5ANXX_SQ0187"	82.4807380343915	20.8834746253183
"X160226_D00390_0246_BC87U5ANXX_SQ2546"	-5.14996499580175	-24.3368346778236
"X160226_D00390_0246_BC87U5ANXX_SQ2547"	-19.1294557111825	-21.8647273990039
"X160226_D00390_0246_BC87U5ANXX_SQ2548"	-31.6401153154493	-20.4012149659824
"X160226_D00390_0246_BC87U5ANXX_SQ2549"	-44.0022779545568	-18.8425995626207
"X160324_D00390_0247_BC87W9ANXX_SQ0111"	31.2186424876983	-4.08347249179809
"X160324_D00390_0247_BC87W9ANXX_SQ0188"	79.1750672434897	20.8380673196404
"X160324_D00390_0247_BC87W9ANXX_SQ0189"	86.3851435686428	21.1757055376469
"X160324_D00390_0247_BC87W9ANXX_SQ0190"	90.2459456135993	21.5848552647201
"X160324_D00390_0247_BC87W9ANXX_SQ2546"	-9.38369388757975	-23.5618569939677
"X160324_D00390_0247_BC87W9ANXX_SQ2547"	-21.4574725296313	-21.5817420014902
"X160324_D00390_0247_BC87W9ANXX_SQ2548"	-34.5016151417836	-20.674887050088
"X160324_D00390_0247_BC87W9ANXX_SQ2549"	-42.8810033863051	-19.0242265958501
"X160405_D00390_0248_BC89U9ANXX_SQ0191"	-88.9993718380057	0.804169348082043
"X160405_D00390_0248_BC89U9ANXX_SQ0192"	-65.9886611983915	2.64857084423479
"X160405_D00390_0248_BC89U9ANXX_SQ0193"	91.9510863520368	10.8846968846899
"X160405_D00390_0248_BC89U9ANXX_SQ0194"	-73.2032767031521	-0.473284101790211
"X160405_D00390_0248_BC89U9ANXX_SQ0195"	-70.8066085786769	-0.503267161317474
"X160405_D00390_0248_BC89U9ANXX_SQ0196"	93.305746373374	11.1737230388294
"X160405_D00390_0248_BC89U9ANXX_SQ0197"	41.7352022484135	-4.60826398706801
"X160405_D00390_0248_BC89U9ANXX_SQ0198"	-72.5409625800404	-0.440418619259756
"X160415_D00390_0249_AC8A4YANXX_SQ0199"	-45.9022843792064	-0.67673894611577
"X160415_D00390_0249_AC8A4YANXX_SQ0200"	-43.3073160362307	-1.9929499593835
"X160415_D00390_0249_AC8A4YANXX_SQ0201"	-50.3001165263177	-0.860230480389446
"X160415_D00390_0249_AC8A4YANXX_SQ0202"	-41.158239302577	-1.84493161507785
"X160415_D00390_0249_AC8A4YANXX_SQ0203"	-40.2109554853027	-1.91510195859738
"X160415_D00390_0249_AC8A4YANXX_SQ2550"	-46.4637435195962	-19.5800751187451
"X160415_D00390_0249_AC8A4YANXX_SQ2551"	-44.5546361378181	-18.8487743645407
"X160415_D00390_0249_AC8A4YANXX_SQ2552"	-45.9147487691156	-18.7465229819732
"X160422_D00390_0250_AC9C7VANXX_SQ0211"	-36.3012929898674	-1.63322907288615
"X160422_D00390_0250_AC9C7VANXX_SQ0212"	-37.3861398973602	-2.11376417562131
"X160422_D00390_0250_AC9C7VANXX_SQ0213"	-54.3895877143168	-3.28542997321042
"X160422_D00390_0250_AC9C7VANXX_SQ2550"	-50.5782097631284	-18.4828292369303
"X160422_D00390_0250_AC9C7VANXX_SQ2551"	-43.3656463682907	-19.1831467813712
"X160422_D00390_0250_AC9C7VANXX_SQ2552"	-38.9995508106572	-19.0459324177605
"X160422_D00390_0250_AC9C7VANXX_SQ2554"	-40.1228104084826	-20.5370107860464
"X160422_D00390_0250_AC9C7VANXX_SQ2555"	-43.9600664184991	-20.0066169533372
"X160422_D00390_0251_BC9BV0ANXX_SQ0204"	-36.9893731740052	-1.83372065260994
"X160422_D00390_0251_BC9BV0ANXX_SQ0205"	-19.9059264837925	-1.89515845716958
"X160422_D00390_0251_BC9BV0ANXX_SQ0206"	64.0278615118231	21.4247385582749
"X160422_D00390_0251_BC9BV0ANXX_SQ0207"	61.3675343997335	21.2049765040518
"X160422_D00390_0251_BC9BV0ANXX_SQ0208"	68.299872506311	22.0639593763131
"X160422_D00390_0251_BC9BV0ANXX_SQ0209"	-43.8745272376443	-1.69114148422504
"X160422_D00390_0251_BC9BV0ANXX_SQ0210"	-28.7394863209541	-2.0272920536438
"X160422_D00390_0251_BC9BV0ANXX_SQ2553"	-54.1770530563483	-17.2829977343663
"X160429_D00390_0252_AC9CHFANXX_SQ0214"	83.4024793533832	11.5158541266471
"X160429_D00390_0252_AC9CHFANXX_SQ0215"	77.2123627593777	11.9734687737486
"X160429_D00390_0252_AC9CHFANXX_SQ0216"	86.6475350698516	11.5021023917304
"X160429_D00390_0252_AC9CHFANXX_SQ0217"	95.882422587539	11.2037015350465
"X160429_D00390_0252_AC9CHFANXX_SQ0218"	92.9141379237417	12.0021801621859
